sender,receiver,edge_type
AECT,gsa_aect,retweet
AECT,kolorkid,retweet
AECT,RitaFennelly,retweet
AECT,RitaFennelly,retweet
AECT,Gaston_teach,retweet
AECT,bretsw,retweet
AECT,nicolapallitt,retweet
AECT,jbrishke,retweet
AECT,nangur1,retweet
AECT,kariword,retweet
AECT,kolorkid,retweet
AECT,bretsw,retweet
AECT,rmreese1,retweet
AECT,nicolapallitt,retweet
AECT,PaulineMuljana,retweet
AECT,tutaleni,retweet
AECT,hampthephd,retweet
AECT,susiegronseth,retweet
AECT,michaelmgrant,retweet
AECT,michaelmgrant,retweet
AECT,dctrcurry,retweet
AECT,DrTerriC,retweet
AECT,gsa_aect,retweet
AECT,michaelmgrant,retweet
AECT,koubenec,retweet
AECT,kolorkid,retweet
AECT,arasbozkurt,retweet
AECT,aectddl,retweet
AECT,jennkepka,retweet
AECT,RitaFennelly,retweet
AECT,SURTThomas,retweet
AECT,LearnEngage,retweet
AECT,DrVirtuality,retweet
AECT,nangur1,retweet
AECT,michaelmgrant,retweet
AECT,d_mulder,retweet
AECT,yinbk,retweet
AECT,valarywithawhy,retweet
AECT,steph_moore,retweet
AECT,kzenovka,retweet
AECT,tadousay,retweet
AECT,DrVirtuality,retweet
AECT,tadousay,retweet
AECT,SURTThomas,retweet
AECT,SURTThomas,retweet
AECT,Stephsteph83,retweet
SebLopJr,RitaFennelly,retweet
SebLopJr,RitaFennelly,retweet
SebLopJr,AECT,retweet
SebLopJr,RitaFennelly,retweet
correia65,AnnaRoseLeach,retweet
correia65,FanXU92073425,retweet
correia65,AECT,retweet
wavinya66,nicolapallitt,retweet
wavinya66,LiuJh_Christie,retweet
wavinya66,nicolapallitt,retweet
wavinya66,nicolapallitt,retweet
wavinya66,LiuJh_Christie,retweet
wavinya66,hodgesc,retweet
wavinya66,emergeAfrica,retweet
wavinya66,emergeAfrica,retweet
wavinya66,nicolapallitt,retweet
koubenec,FredWBaker,retweet
koubenec,emergeAfrica,retweet
koubenec,hodgesc,retweet
koubenec,AECT,retweet
caranorth11,FredWBaker,retweet
caranorth11,AECT,retweet
caranorth11,AnnaRoseLeach,retweet
caranorth11,FredWBaker,retweet
caranorth11,LearnEngage,retweet
caranorth11,tadousay,retweet
Tech_DrL,KathyMansfield,retweet
Tech_DrL,kariword,retweet
rstatstweet,bretsw,retweet
PaulineMuljana,bretsw,retweet
PaulineMuljana,hodgesc,retweet
PaulineMuljana,robmoore3,retweet
PaulineMuljana,NeumannKL,retweet
PaulineMuljana,DrRossPerkins,retweet
PaulineMuljana,JCHEResearch,retweet
PaulineMuljana,AmyLomellini_ID,retweet
harmonygritz,veletsianos,retweet
vrodes,veletsianos,retweet
Lucyappert,veletsianos,retweet
tutaleni,emergeAfrica,retweet
tutaleni,nicolapallitt,retweet
tutaleni,NeumannKL,retweet
tutaleni,jeroen69,retweet
tutaleni,aectclt,retweet
tutaleni,PaulineMuljana,retweet
tutaleni,jeroen69,retweet
tutaleni,nicolapallitt,retweet
tutaleni,tadousay,retweet
tutaleni,troman,retweet
tutaleni,emergeAfrica,retweet
tutaleni,_ThanhDo,retweet
tutaleni,AECT,retweet
UMassLinguistic,veletsianos,retweet
gsa_aect,tadousay,retweet
gsa_aect,AECT,retweet
leohavemann,veletsianos,retweet
sukainaw,veletsianos,retweet
emergeAfrica,nicolapallitt,retweet
emergeAfrica,hodgesc,retweet
emergeAfrica,tadousay,retweet
emergeAfrica,LiuJh_Christie,retweet
emergeAfrica,DrVirtuality,retweet
emergeAfrica,nicolapallitt,retweet
emergeAfrica,veletsianos,retweet
emergeAfrica,richardewest,retweet
emergeAfrica,LiuJh_Christie,retweet
emergeAfrica,nicolapallitt,retweet
emergeAfrica,nicolapallitt,retweet
emergeAfrica,robmoore3,retweet
emergeAfrica,nicolapallitt,retweet
emergeAfrica,nicolapallitt,retweet
emergeAfrica,aectclt,retweet
nicolapallitt,tutaleni,retweet
nicolapallitt,srogidd,retweet
nicolapallitt,KuiXiePHD,retweet
nicolapallitt,LiuJh_Christie,retweet
nicolapallitt,LiuJh_Christie,retweet
nicolapallitt,aectclt,retweet
nicolapallitt,emergeAfrica,retweet
nicolapallitt,LearnEngage,retweet
nicolapallitt,LiuJh_Christie,retweet
nicolapallitt,robmoore3,retweet
nicolapallitt,DKSch,retweet
GabrielKonayuma,emergeAfrica,retweet
GabrielKonayuma,veletsianos,retweet
GabrielKonayuma,nicolapallitt,retweet
GabrielKonayuma,nicolapallitt,retweet
constatively,veletsianos,retweet
constatively,FredWBaker,retweet
constatively,FredWBaker,retweet
constatively,hodgesc,retweet
constatively,LearnEngage,retweet
LiuJh_Christie,emergeAfrica,retweet
LiuJh_Christie,srogidd,retweet
LiuJh_Christie,hodgesc,retweet
LiuJh_Christie,nicolapallitt,retweet
LiuJh_Christie,TAmankwatia,retweet
LiuJh_Christie,emergeAfrica,retweet
LiuJh_Christie,srogidd,retweet
LiuJh_Christie,nicolapallitt,retweet
LiuJh_Christie,veletsianos,retweet
LiuJh_Christie,tutaleni,retweet
LiuJh_Christie,KuiXiePHD,retweet
LiuJh_Christie,FanXU92073425,retweet
LiuJh_Christie,srogidd,retweet
LiuJh_Christie,PaulineMuljana,retweet
LiuJh_Christie,nicolapallitt,retweet
LiuJh_Christie,LearnEngage,retweet
LiuJh_Christie,DKSch,retweet
LiuJh_Christie,tutaleni,retweet
LiuJh_Christie,AECT,retweet
LiuJh_Christie,srogidd,retweet
onmyway2here,veletsianos,retweet
Harriet96152202,RoutledgeEd,retweet
MattheaMarquart,veletsianos,retweet
treymartindale,MeganCMurtaugh,retweet
treymartindale,AECT,retweet
treymartindale,AECT,retweet
the80kcrew,caranorth11,retweet
the80kcrew,AnnaRoseLeach,retweet
the80kcrew,caranorth11,retweet
Chri5rowell,veletsianos,retweet
